Module	Section	Sample Name	Source
STAR	SummaryLog	RAP1_IAA_30M_REP1	/home/a25usmmu@hs.local/seminar/nf-core-seminar/work/20/80d2a349a144ae36ab441a64c415ee/13/RAP1_IAA_30M_REP1.Log.final.out
STAR	SummaryLog	RAP1_UNINDUCED_REP1	/home/a25usmmu@hs.local/seminar/nf-core-seminar/work/20/80d2a349a144ae36ab441a64c415ee/12/RAP1_UNINDUCED_REP1.Log.final.out
STAR	SummaryLog	RAP1_UNINDUCED_REP2	/home/a25usmmu@hs.local/seminar/nf-core-seminar/work/20/80d2a349a144ae36ab441a64c415ee/11/RAP1_UNINDUCED_REP2.Log.final.out
Cutadapt	all_sections	RAP1_IAA_30M_REP1_1	/home/a25usmmu@hs.local/seminar/nf-core-seminar/work/20/80d2a349a144ae36ab441a64c415ee/4/RAP1_IAA_30M_REP1_1.fastq.gz_trimming_report.txt
Cutadapt	all_sections	RAP1_IAA_30M_REP1_2	/home/a25usmmu@hs.local/seminar/nf-core-seminar/work/20/80d2a349a144ae36ab441a64c415ee/5/RAP1_IAA_30M_REP1_2.fastq.gz_trimming_report.txt
Cutadapt	all_sections	RAP1_UNINDUCED_REP1	/home/a25usmmu@hs.local/seminar/nf-core-seminar/work/20/80d2a349a144ae36ab441a64c415ee/6/RAP1_UNINDUCED_REP1.fastq.gz_trimming_report.txt
Cutadapt	all_sections	RAP1_UNINDUCED_REP2	/home/a25usmmu@hs.local/seminar/nf-core-seminar/work/20/80d2a349a144ae36ab441a64c415ee/3/RAP1_UNINDUCED_REP2.fastq.gz_trimming_report.txt
FastQC	all_sections	RAP1_IAA_30M_REP1_1	/home/a25usmmu@hs.local/seminar/nf-core-seminar/work/20/80d2a349a144ae36ab441a64c415ee/9/RAP1_IAA_30M_REP1_1_fastqc.zip
FastQC	all_sections	RAP1_IAA_30M_REP1_2	/home/a25usmmu@hs.local/seminar/nf-core-seminar/work/20/80d2a349a144ae36ab441a64c415ee/10/RAP1_IAA_30M_REP1_2_fastqc.zip
FastQC	all_sections	RAP1_UNINDUCED_REP1	/home/a25usmmu@hs.local/seminar/nf-core-seminar/work/20/80d2a349a144ae36ab441a64c415ee/8/RAP1_UNINDUCED_REP1_fastqc.zip
FastQC	all_sections	RAP1_UNINDUCED_REP2	/home/a25usmmu@hs.local/seminar/nf-core-seminar/work/20/80d2a349a144ae36ab441a64c415ee/7/RAP1_UNINDUCED_REP2_fastqc.zip
