task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
4	e8/fcf6b6	1220561	NFCORE_SEMINAR:SEMINAR:TRIMGALORE (RAP1_UNINDUCED_REP2)	COMPLETED	0	2026-03-18 03:13:32.152	2.2s	2s	95.4%	41.7 MB	52.9 MB	52.7 MB	38.4 MB
2	be/730a1b	1220527	NFCORE_SEMINAR:SEMINAR:TRIMGALORE (RAP1_UNINDUCED_REP1)	COMPLETED	0	2026-03-18 03:13:32.139	2.4s	2s	96.8%	41.2 MB	52.9 MB	52.6 MB	38.4 MB
1	dc/2935e5	1220545	NFCORE_SEMINAR:SEMINAR:FASTQC (RAP1_UNINDUCED_REP1)	COMPLETED	0	2026-03-18 03:13:32.147	3s	3s	121.6%	276.5 MB	4.9 GB	12.8 MB	1.8 MB
3	e4/819c95	1220584	NFCORE_SEMINAR:SEMINAR:FASTQC (RAP1_UNINDUCED_REP2)	COMPLETED	0	2026-03-18 03:13:32.158	3.1s	3s	119.6%	247.2 MB	4.9 GB	12.8 MB	1.8 MB
5	0a/28542b	1220597	NFCORE_SEMINAR:SEMINAR:FASTQC (RAP1_IAA_30M_REP1)	COMPLETED	0	2026-03-18 03:13:32.162	4.1s	4s	116.1%	335.3 MB	5 GB	15.9 MB	3.5 MB
7	b0/961371	1222338	NFCORE_SEMINAR:SEMINAR:SALMON_QUANT (RAP1_UNINDUCED_REP2)	COMPLETED	0	2026-03-18 03:13:35.280	1.7s	1s	61.5%	261.7 MB	453.5 MB	63.2 MB	452.4 KB
8	40/22df52	1221795	NFCORE_SEMINAR:SEMINAR:STAR_ALIGN (RAP1_UNINDUCED_REP2)	COMPLETED	0	2026-03-18 03:13:34.545	3.5s	3s	98.0%	449.2 MB	2.3 GB	165.3 MB	3.5 MB
6	ca/bd80d9	1221746	NFCORE_SEMINAR:SEMINAR:TRIMGALORE (RAP1_IAA_30M_REP1)	COMPLETED	0	2026-03-18 03:13:34.348	4s	4s	134.3%	41.6 MB	52.9 MB	134.4 MB	116.7 MB
10	77/7bc8af	1223408	NFCORE_SEMINAR:SEMINAR:SALMON_QUANT (RAP1_UNINDUCED_REP1)	COMPLETED	0	2026-03-18 03:13:38.041	1.5s	1s	70.7%	261.8 MB	459.5 MB	63.2 MB	453.4 KB
12	77/a1ad03	1223851	NFCORE_SEMINAR:SEMINAR:SALMON_QUANT (RAP1_IAA_30M_REP1)	COMPLETED	0	2026-03-18 03:13:38.348	1.3s	1s	116.8%	3.6 MB	18.2 MB	65.3 MB	474.5 KB
9	67/b3f49b	1222949	NFCORE_SEMINAR:SEMINAR:STAR_ALIGN (RAP1_UNINDUCED_REP1)	COMPLETED	0	2026-03-18 03:13:36.970	3.2s	2.9s	98.8%	449.2 MB	2.4 GB	165.3 MB	3.4 MB
11	96/510864	1224266	NFCORE_SEMINAR:SEMINAR:STAR_ALIGN (RAP1_IAA_30M_REP1)	COMPLETED	0	2026-03-18 03:13:39.569	7.3s	7s	99.8%	471 MB	2.4 GB	177.2 MB	7.2 MB
13	f3/dd0898	1225454	NFCORE_SEMINAR:SEMINAR:MULTIQC	COMPLETED	0	2026-03-18 03:13:46.937	10.9s	10.6s	56.7%	789.3 MB	15.6 GB	86.5 MB	30.6 MB
